지역,측정소명,측정일시,SO2,CO,O3,NO2,PM10
서울,중랑구,2014100114,0.005,0.4,0.033,0.02,28
서울,강남구,2014100115,0.005,0.3,0.034,0.021,36
서울,강동구,2014100115,0.004,0.4,0.027,0.017,35
서울,강북구,2014100115,0.005,0.3,0.027,0.022,34
서울,강서구,2014100115,0.007,0.4,0.041,0.018,34
서울,관악구,2014100115,0.004,0.4,0.035,0.018,39
서울,광진구,2014100115,0.004,0.4,0.036,0.021,35
서울,구로구,2014100115,0.004,0.4,0.037,0.013,34
서울,금천구,2014100115,0.005,0.3,0.046,0.015,36
서울,노원구,2014100115,0.005,0.3,0.031,0.02,38
서울,도봉구,2014100115,0.011,0.4,0.043,0.023,35
서울,동대문구,2014100115,0.003,0.3,0.036,0.023,36
서울,동작구,2014100115,0.006,0.3,0.043,0.017,37
서울,마포구,2014100115,0.004,0.4,0.036,0.022,35
서울,서대문구,2014100115,0.005,0.5,0.036,0.037,37
서울,서초구,2014100115,0.003,0.3,0.034,0.017,32
서울,성동구,2014100115,-999,0.3,0.026,0.024,36
서울,성북구,2014100115,0.003,0.4,0.026,0.024,35
서울,송파구,2014100115,-999,-999,-999,-999,-999
서울,양천구,2014100115,0.005,0.3,0.045,0.018,37
서울,영등포구,2014100115,0.005,0.4,0.052,0.017,33
서울,용산구,2014100115,0.005,0.4,0.031,0.027,31
서울,은평구,2014100115,0.004,0.6,0.031,0.033,36
서울,종로구,2014100115,0.005,0.3,0.032,0.025,33
서울,중구,2014100115,0.004,0.4,0.036,-999,35
서울,중랑구,2014100115,0.005,0.4,0.037,0.024,38
서울,강남구,2014100116,-999,-999,-999,-999,33
서울,강동구,2014100116,0.003,0.4,0.032,0.02,38
서울,강북구,2014100116,0.005,0.3,0.034,0.022,31
서울,강서구,2014100116,-999,-999,-999,-999,34
서울,관악구,2014100116,0.004,0.4,0.038,0.02,40
서울,광진구,2014100116,0.004,0.4,0.042,0.02,37
서울,구로구,2014100116,0.004,0.4,0.039,0.016,41
서울,금천구,2014100116,0.005,0.3,0.047,0.018,33
서울,노원구,2014100116,0.004,0.3,0.034,0.022,33
서울,도봉구,2014100116,0.004,0.4,0.036,0.026,35
서울,동대문구,2014100116,0.003,0.3,0.042,0.024,39
서울,동작구,2014100116,0.006,0.3,0.05,0.016,36
서울,마포구,2014100116,0.004,0.4,0.042,0.021,36
서울,서대문구,2014100116,0.005,0.1,0.043,0.036,35
서울,서초구,2014100116,0.003,0.3,0.037,0.02,35
서울,성동구,2014100116,-999,0.3,0.03,0.025,36
서울,성북구,2014100116,0.002,0.4,0.03,0.028,34
서울,송파구,2014100116,-999,-999,-999,-999,-999
서울,양천구,2014100116,0.005,0.3,0.048,0.019,36
서울,영등포구,2014100116,0.005,0.6,0.05,0.024,40
서울,용산구,2014100116,0.005,0.3,0.042,0.023,37
서울,은평구,2014100116,0.004,0.6,0.041,0.031,36
서울,종로구,2014100116,0.006,0.3,0.035,0.026,34
서울,중구,2014100116,0.004,0.3,0.037,-999,39
서울,중랑구,2014100116,0.004,0.4,0.038,0.027,35
서울,강남구,2014100117,-999,-999,-999,-999,40
서울,강동구,2014100117,0.004,0.4,0.031,0.023,43
서울,강북구,2014100117,0.004,0.3,0.035,0.026,40
서울,강서구,2014100117,-999,-999,-999,-999,38
서울,관악구,2014100117,0.004,0.4,0.037,0.021,48
서울,광진구,2014100117,0.003,0.4,0.032,0.032,44
서울,구로구,2014100117,0.005,0.4,0.035,0.019,41
서울,금천구,2014100117,0.006,0.4,0.042,0.024,39
서울,노원구,2014100117,0.005,0.3,0.033,0.027,39
서울,도봉구,2014100117,0.005,0.4,0.039,0.028,39
서울,동대문구,2014100117,0.003,0.3,0.043,0.026,39
서울,동작구,2014100117,0.006,0.3,0.051,0.018,39
서울,마포구,2014100117,0.004,0.4,0.04,0.027,43
서울,서대문구,2014100117,0.005,0.1,0.049,0.037,38
서울,서초구,2014100117,0.004,0.3,0.041,0.019,42
서울,성동구,2014100117,-999,0.3,0.028,0.027,40
서울,성북구,2014100117,0.002,0.4,0.034,0.024,39
서울,송파구,2014100117,-999,-999,-999,-999,-999
서울,양천구,2014100117,0.006,0.3,0.047,0.02,41
서울,영등포구,2014100117,0.005,0.6,0.048,0.025,40
서울,용산구,2014100117,0.004,0.4,0.038,0.027,41
서울,은평구,2014100117,0.004,0.6,0.044,0.033,37
서울,종로구,2014100117,0.005,0.3,0.035,0.032,40
서울,중구,2014100117,0.004,0.4,0.035,-999,38
서울,중랑구,2014100117,0.004,0.5,0.031,0.032,42
