helloyd yk ek
1.000000 4.902947 -3.902947
10.000000 7.846979 2.153021
29.000000 18.788403 10.211597
23.000000 23.786667 -0.786667
21.000000 20.345545 0.654455
7.000000 17.874762 -10.874762
6.000000 7.961233 -1.961233
16.000000 6.061541 9.938459
10.000000 16.776169 -6.776169
7.000000 9.567152 -2.567152
7.000000 7.754739 -0.754739
6.000000 9.166772 -3.166772
12.000000 8.296123 3.703877
32.000000 14.308844 17.691156
30.000000 27.270571 2.729429
34.000000 26.920622 7.079378
35.000000 27.795853 7.204147
27.000000 30.256262 -3.256262
29.000000 23.714621 5.285379
11.000000 25.044586 -14.044586
6.000000 7.386255 -1.386255
1.000000 2.777720 -1.777720
0.000000 0.955129 -0.955129
0.000000 0.204482 -0.204482
2.000000 2.915586 -0.915586
13.000000 4.791299 8.208701
14.000000 25.121141 -11.121141
13.000000 18.689621 -5.689621
18.000000 13.037427 4.962573
9.000000 17.025505 -8.025505
11.000000 10.533983 0.466017
12.000000 12.096926 -0.096926
9.000000 13.974822 -4.974822
13.000000 10.456594 2.543406
5.000000 14.447800 -9.447800
10.000000 7.511506 2.488494
17.000000 11.621553 5.378447
25.000000 20.346233 4.653767
25.000000 24.162718 0.837282
41.000000 22.904499 18.095501
35.000000 33.946449 1.053551
27.000000 31.958746 -4.958746
25.000000 22.111172 2.888828
10.000000 21.449203 -11.449203
5.000000 6.270904 -1.270904
3.000000 2.817142 0.182858
1.000000 1.934868 -0.934868
1.000000 1.448633 -0.448633
2.000000 3.678982 -1.678982
16.000000 6.110034 9.889966
24.000000 24.744272 -0.744272
19.000000 22.275024 -3.275024
19.000000 17.657261 1.342739
13.000000 17.208168 -4.208168
10.000000 13.845380 -3.845380
12.000000 10.748221 1.251779
10.000000 12.867178 -2.867178
5.000000 10.337646 -5.337646
7.000000 6.747221 0.252779
8.000000 9.139063 -1.139063
19.000000 11.741648 7.258352
43.000000 20.342516 22.657484
41.000000 33.446392 7.553608
42.000000 33.898159 8.101841
37.000000 29.679310 7.320690
26.000000 29.418535 -3.418535
26.000000 18.627140 7.372860
16.000000 19.482246 -3.482246
11.000000 8.386059 2.613941
3.000000 5.687774 -2.687774
3.000000 1.518603 1.481397
2.000000 2.383383 -0.383383
2.000000 3.967411 -1.967411
12.000000 4.599934 7.400066
20.000000 23.528046 -3.528046
27.000000 24.878937 2.121063
17.000000 23.692413 -6.692413
20.000000 16.054344 3.945656
9.000000 19.054464 -10.054464
7.000000 10.193789 -3.193789
13.000000 7.271546 5.728454
